,City,Latitude,Temperature,Humidity,Cloudiness,Wind Speed
0,New Norfolk,-42.78,51.1,58,75,23.04
1,Same,-9.0,86.16,36,17,8.68
2,Boende,-0.28,71.08,91,100,1.95
3,Rio Claro,-22.41,66.2,88,22,12.75
4,Rikitea,-23.12,77.59,72,0,3.76
5,Nioro,13.79,81.93,25,14,6.22
6,Butaritari,3.07,84.61,74,68,10.22
7,Castro,-42.48,35.46,97,97,1.81
8,Dhidhdhoo,6.88,82.27,77,0,11.54
9,Shulan,44.41,27.91,32,0,13.73
10,Ushuaia,-54.81,33.8,98,90,32.21
11,Ucluelet,48.94,46.78,93,90,5.82
12,Mareeba,-16.99,87.44,48,0,12.75
13,Clyde River,70.47,26.6,92,90,12.75
14,Mataura,-46.19,66.67,69,100,2.68
15,Merauke,-8.49,96.73,39,75,2.42
16,Bartlesville,36.75,57.72,93,90,5.82
17,Hobart,-42.88,51.08,58,75,23.04
18,Tiksi,71.64,-12.39,99,89,3.53
19,Along,28.17,72.57,56,0,1.77
20,Port Hardy,50.7,48.2,87,90,2.66
21,Atuona,-9.8,80.31,77,100,17.25
22,Chokurdakh,70.62,10.81,96,99,4.07
23,Chernyshevskiy,63.01,1.11,90,100,5.23
24,Qandala,11.47,79.18,70,3,4.16
25,Sekoma,-24.51,73.09,21,100,6.17
26,Ushuaia,-54.81,33.8,98,90,32.21
27,Sibolga,1.74,85.12,53,91,2.53
28,Bluff,-23.58,88.39,19,0,3.22
29,Rocha,-34.48,57.34,81,45,6.6
30,Kimbe,-5.56,90.3,59,100,2.48
31,Punta Arenas,-53.16,37.22,68,75,33.33
32,Castro,-42.48,35.46,97,97,1.81
33,Coihaique,-45.58,44.6,56,75,9.17
34,Kruisfontein,-34.0,56.61,80,97,24.83
35,Rikitea,-23.12,77.59,72,0,3.76
36,Ouesso,1.61,69.22,97,100,1.25
37,Rugeley,52.76,42.93,100,100,10.29
38,Camapua,-19.53,73.06,86,100,2.26
